n,S,comparisons,cpu_time_s
1000,16,10189,0.000926
2000,16,22432,0.001897
5000,16,58484,0.005179
10000,16,126993,0.010346
20000,16,274235,0.019683
50000,16,770149,0.051720
100000,16,1639399,0.111770
200000,16,3477549,0.246302
500000,16,9609989,0.671445
1000000,16,20219484,1.488821
2000000,16,42453806,3.361304
5000000,16,108208689,9.229500
10000000,16,226411037,20.087632
