n,S,comparisons,cpu_time_s
10000000,1,220099857,28.581483
10000000,5,221104593,26.136540
10000000,10,226421546,25.457658
10000000,15,226421546,25.403596
10000000,20,242326410,25.666989
10000000,25,242326410,25.836634
10000000,30,242326410,25.206169
10000000,40,281248016,27.597283
10000000,50,281248016,27.603408
